word,count
таким,3
образом,3
постоянное,1
информационно-пропагандистское,1
обеспечение,1
нашей,2
деятельности,6
в,8
значительной,3
степени,3
обуславливает,3
создание,3
"позиций,",2
занимаемых,2
участниками,2
отношении,2
поставленных,2
задач.,2
новая,4
модель,4
организационной,4
представляет,1
собой,1
интересный,1
эксперимент,1
проверки,1
форм,3
развития.,2
рамки,1
и,6
место,1
обучения,3
кадров,1
играет,1
важную,1
роль,1
формировании,3
повседневная,4
практика,4
"показывает,",4
что,6
начало,1
повседневной,1
работы,1
по,2
формированию,1
позиции,1
позволяет,3
оценить,2
значение,2
системы,2
"кадров,",2
соответствует,2
насущным,2
потребностям.,2
реализация,2
намеченных,2
плановых,2
заданий,2
обеспечивает,2
широкому,2
кругу,2
(специалистов),2
участие,2
соответствующий,1
условий,1
активизации.,1
требуют,2
определения,2
уточнения,2
новых,3
предложений.,3
не,2
"следует,",2
однако,2
"забывать,",2
систем,1
массового,1
участия.,1
разнообразный,1
богатый,1
опыт,1
консультация,1
с,1
широким,1
активом,1
выполнять,1
важные,1
задания,1
разработке,1
идейные,2
соображения,2
высшего,2
"порядка,",2
а,2
также,2
постоянный,1
количественный,1
рост,1
сфера,1
активности,1
существенных,1
финансовых,1
административных,1
условий.,1
дальнейшее,1
развитие,1
различных,1
